Supplier,Product Code,Product Name,Case Size,Ingredients,,,,,
Harvey & Brockless,DB058,BUTTER NETHEREND SEA SALTED PTN 20G X100,,"cream (98.50%), Cornish Sea Salt (1.50%).",,,,,
Harvey & Brockless,DB060,BUTTER NETHEREND ORGANIC UNSALTD250GX20,,Organic Cow's Cream,,,,,
Harvey & Brockless,DB077,BUTTER ISIGNY PTN 25GX48,,"Pasteurised Cow's Milk, Lactic Starter Culture",,,,,
Harvey & Brockless,DB082,BUTTER MEGGLE UNSALTED ROLL 8 X 250G,,Butter (Milk),,,2.31,2.5,924
Harvey & Brockless,DB089,BUTTER SALTED CROXTON MANOR 250GX40,,"Butter (Milk), Salt",,,,,
Harvey & Brockless,DB113,BUTTER LESCURE PATISSERIE 1KG X 10,,"Pasteurised Cow's Cream, Lactic Ferments",,,,,
Harvey & Brockless,DB135,SUNFLOWER SPREAD PORTION LT BEBO 400X10G,,"Water, Vegetable Oils contain [Sunflower Oil ,  RSPO Palm Oil], Salt, Emulsifier [mono- en diglycerides of fatty acids], Acidity Regulator [Citric Acid], Flavouring, Colour [beta carotene], Vitamins [A, D2].",,,,,
Harvey & Brockless,DB168,BUTTER WHEY LICOLNSHIRE POACHER 250G,,"Whey Cream, Sea Salt, Dairy Culture",,,,,
Harvey & Brockless,DB200,ESTATE DAIRY PATISSERIE BUTTER 10 X 1KG,,"Pasteurised Cows Cream (Milk), Lactic cultures ",,,,,
Harvey & Brockless,DB202,BUTTER CLARIFIED 2KG,,Butter (Milk),,,,,
Harvey & Brockless,DB206,BUTTER SLIGHTLY SALTED 8X200G,,"Double Cream (Milk), Starter Cultures, Salt",,,,,
Harvey & Brockless,DB210,ARLA PRO BUTTER UNSALTED 250G X 40 F,,Butter (Milk),,,,,
Harvey & Brockless,DB212,THE ESTATE DAIRY BUTTER SALTED 250G X 20,,"pasteurised Guernsey Cows milk, Latic cultures",,,,,
Harvey & Brockless,DB214,LURPAK SPREADABLE POTS 8G X 600,,"Butter (63.70%),Rapeseed Oil (25.70%), water (6.90%), Lactic acid culture (2.80%),  Salt (0.90%), ",,,,,
Harvey & Brockless,DB999,LURPAK GARLIC BUTTER 12X125G,,"Butter (89%), Garlic Puree (6%), Salt (2%),Garlic Granulate (1%), Garlic Powder (0.70%), Lactic Acid Culture (1.20%), Pepper Extract (0.10%)",,,,,
Harvey & Brockless,DC033,CLOTTED CREAM RODDAS 907G,,Pasteurised Cow's Milk,,,,,
Harvey & Brockless,DC043,CREME FRAICHE MONTEBOURG 5 LITRE,,"Pasteurised Cream, Starter Cultures",,,,,
Harvey & Brockless,DC053,CREME FRAICHE FRENCH 20CL 30%,,"Pasteurised Cream, Lactic Starter Bacteria",,,,,
Harvey & Brockless,DC089,CREAM CORNISH CLOTTED PTN FROZEN 48X40G,,Pasteurised Cow's Milk ,,,,,
Harvey & Brockless,DM013,BUTTERMILK 5LTR,,"Skimmed Milk and Skimmed Milk Solids, Milk Protein Concentrate, Starter Culture",,,,,
Harvey & Brockless,DM103,MOZZARELLA STYLE VEGAN GRATED 4X200G,,"Water, Coconut Oil,Modified Potato Starch, Gluten Free Oat Fibre, Maize Starch, Salt, Natural Flavourings, Modified Maize Starch, Tricalcium Citrate, Thickener (Carrageenan (E407)), Thickener (Guar gum (E412)), Acidity Regulator (Lactic acid (E270) (dairy free))
Acidity Regulator (Sodium lactate (E325) (dairy free)), Colour (Mixed Carotenes)",,,,,
