E_Number,Item,Fraction
E473,Sucrose esters of fatty acids,0.001
E474,Sucroglycerides,0.001
E475,Polyglycerol esters of fatty acids,0.001
E476,Polyglycerol polyricinoleate,0.001
E477,"Propane-1,2-diol esters of fatty acids",0.001
E479b,Thermally oxidised soya bean oil interacted with mono­ and diglycerides of fatty acids,0.001
E481,Sodium stearoyl-2-lactylate,0.001
E482,Calcium stearoyl-2-lactylate,0.001
E483,Stearyl tartrate,0.001
E491,Sorbitan monostearate,0.001
E492,Sorbitan tristearate,0.001
E493,Sorbitan monolaurate,0.001
E494,Sorbitan monooleate,0.001
E495,Sorbitan monopalmitate,0.001
E1103,Invertase,0.001
E260,Acetic acid,0.001
E261,Potassium acetate,0.001
E262,Sodium acetate,0.001
E263,Calcium acetate,0.001
E270,Lactic acid,0.001
E290,Carbon dioxide,0.001
E296,Malic acid,0.001
E297,Fumaric acid,0.001
E325,Sodium lactate,0.001
E326,Potassium lactate,0.001
E327,Calcium lactate,0.001
E330,Citric acid,0.001
E331,Sodium citrates,0.001
E332,Potassium citrates,0.001
E333,Calcium citrates,0.001
E334,Tartaric acid (L-(+)),0.001
E335,Sodium tartrates,0.001
E336,Potassium tartrates,0.001
E337,Sodium potassium tartrate,0.001
E338,Phosphoric acid,0.001
E339,Sodium phosphates,0.001
E340,Potassium phosphates,0.001
E341,Calcium phosphates,0.001
E343,Magnesium phosphates,0.001
E350,Sodium malates,0.001
E351,Potassium malate,0.001
E352,Calcium malates,0.001
E353,Metatartaric acid,0.001
E354,Calcium tartrate,0.001
E355,Adipic acid,0.001
E356,Sodium adipate,0.001
E357,Potassium adipate,0.001
E363,Succinic acid,0.001
E380,Triammonium citrate,0.001
E385,Calcium disodium ethylene diamine tetra-acetate,0.001
E385,calcium disodium EDTA,0.001
E422,Glycerol,0.001
E423,Octenyl succinic acid modified gum Arabic,0.001
E450,Diphosphates,0.001
E451,Triphosphates,0.001
E452,Polyphosphates,0.001
E459,Beta-cyclodextrin,0.001
E499,Stigmasterol-rich plant sterols,0.001
E500,Sodium carbonates,0.001
E501,Potassium carbonates,0.001
E503,Ammonium carbonates,0.001
E504,Magnesium carbonates,0.001
E507,Hydrochloric acid,0.001
E508,Potassium chloride,0.001
E509,Calcium chloride,0.001
E511,Magnesium chloride,0.001
E512,Stannous chloride,0.001
E513,Sulphuric acid,0.001
E514,Sodium sulphates,0.001
E515,Potassium sulphates,0.001
E516,Calcium sulphate,0.001
E517,Ammonium sulphate,0.001
E520,Aluminium sulphate,0.001
E521,Aluminium sodium sulphate,0.001
E522,Aluminium potassium sulphate,0.001
E523,Aluminium ammonium sulphate,0.001
E524,Sodium hydroxide,0.001
E525,Potassium hydroxide ,0.001
E526,Calcium hydroxide,0.001
E527,Ammonium hydroxide,0.001
E528,Magnesium hydroxide,0.001
E529,Calcium oxide,0.001
E530,Magnesium oxide,0.001
E535,Sodium ferrocyanide,0.001
E536,Potassium ferrocyanide,0.001
E538,Calcium ferrocyanide,0.001
E541,Sodium aluminium phosphate,0.001
E551,Silicon dioxide,0.001
E552,Calcium silicate,0.001
E553a,Magnesium silicate,0.001
E553a,Magnesium trisilicate,0.001
E553b,Talc,0.001
E554,Sodium aluminium silicate,0.001
E555,Potassium aluminium silicate,0.001
E570,Fatty acids,0.001
E574,Gluconic acid,0.001
E575,Glucono delta-lactone,0.001
E576,Sodium gluconate,0.001
E577,Potassium gluconate,0.001
E578,Calcium gluconate,0.001
E579,Ferrous gluconate,0.001
E585,Ferrous lactate,0.001
E620,Glutamic acid,0.001
E621,Monosodium glutamate,0.001
E622,Monopotassium glutamate,0.001
E623,Calcium diglutamate,0.001
E624,Monoammonium glutamate,0.001
E625,Magnesium diglutamate,0.001
E626,Guanylic acid,0.001
E627,Disodium guanylate,0.001
E628,Dipotassium guanylate,0.001
E629,Calcium guanylate,0.001
E630,lnosinic acid,0.001
E631,Disodium inosinate,0.001
E632,Dipotassium inosinate,0.001
E633,Calcium inosinate,0.001
E634,Calcium 5'-ribonucleotides,0.001
E635,Disodium 5'-ribonucleotides,0.001
E640,Glycine and its sodium salt,0.001
E641,L-leucine,0.001
E650,Zinc acetate,0.001
E900,Dimethylpolysiloxane,0.001
E901,"Beeswax, white and yellow",0.001
E902,Candelilla wax,0.001
E903,Carnauba wax,0.001
E904,Shellac,0.001
E905,Microcrystalline wax,0.001
E907,Hydrogenated Poly-1-Decene,0.001
E914,Oxidised Polyethylene wax,0.001
E920,L-Cysteine,0.001
E927b,Carbamide,0.001
E938,Argon,0.001
E939,Helium,0.001
E941,Nitrogen,0.001
E942,Nitrous oxide,0.001
E943a,Butane,0.001
E943b,Iso-butane,0.001
E944,Propane,0.001
E948,Oxygen,0.001
E949,Hydrogen,0.001
E999,Quillaia extract,0.001
E1200,Polydextrose,0.001
E1201,Polyvinylpyrrolidone,0.001
E1202,Polyvinylpolypyrrolidone,0.001
E1203,Polyvinyl alcohol,0.001
E1204,Pullulan,0.001
E1205,Basic methacrylate copolymer,0.001
E1206,Neutral methacrylate copolymer,0.001
E1207,Anionic methacrylate copolymer,0.001
E1208,Polyvinylpyrrolidone-vinyl acetate copolymer,0.001
E1209,Polyvinyl alcohol-polyethylene glycol-graft- co-polymer,0.001
E1404,Oxidised starch,0.001
E1410,Monostarch phosphate,0.001
E1412,Distarch phosphate,0.001
E1413,Phosphated distarch phosphate,0.001
E1414,Acetylated distarch phosphate,0.001
E1420,Acetylated starch,0.001
E1422,Acetylated distarch adipate,0.001
E1440,Hydroxyl propyl starch,0.001
E1442,Hydroxy propyl distarch phosphate,0.001
E1450,Starch sodium octenyl succinate,0.001
E1451,Acetylated oxidised starch,0.001
E1452,Starch aluminium Octenyl succinate,0.001
E1505,Triethyl citrate,0.001
E1517,Glyceryl diacetate,0.001
E1517,diacetin,0.001
E1518,Glyceryl triacetate,0.001
E1518,triacetin,0.001
E1519,Benzyl alcohol,0.001
E1520,"Propan-1,2-diol",0.001
E1520,propylene glycol,0.001
E1521,Polyethylene glycol,0.001
Salt,Salt,0.02
"sugar, white","sugar, white",0.1735678571
cocoa butter,cocoa butter,0.1849555556
milk powder,milk powder,0.05628
"cocoa, powder","cocoa, powder",0.3445
apple pectin,apple pectin,0.0076486691
vanilla beans,vanilla beans,0.0262611111
"chocolate, dark","chocolate, dark",0.1033333333
salt,salt,0.0204664736
baking powder,baking powder,0.0042355556
figs,figs,0.4766666667
"plum, raw","plum, raw",0.3925
"apple, raw, all varieties","apple, raw, all varieties",0.46075
"orange, raw","orange, raw",0.308
"cream, whipping, 38 % fat","cream, whipping, 38 % fat",0.985
"salt, table","salt, table",0.0267410714
butternut,butternut,0.46595
rapeseed oil,rapeseed oil,0.3164166667
water,water,0.02
"garlic, raw","garlic, raw",0.1071238095
coconut oil,coconut oil,0.2133333333
"milk, partly skimmed, 1.5 % fat","milk, partly skimmed, 1.5 % fat",0.9493579221
"cream, cultured, 18 % fat","cream, cultured, 18 % fat",0.25105625
"wheat, flour, wholemeal","wheat, flour, wholemeal",0.45625
"cheese, firm, danbo, 45 % fidm.","cheese, firm, danbo, 45 % fidm.",0.632275
"cranberry, raw","cranberry, raw",0.2961111111
"yeast, bakers, compressed","yeast, bakers, compressed",0.0028562303
vegetable fat,vegetable fat,0.0004330625
"milk, whole, 3.5 % fat","milk, whole, 3.5 % fat",0.8860557692
paprika (powder),paprika (powder),0.0081409091
"raisins, seedless","raisins, seedless",0.16492
sunflower oil,sunflower oil,0.164
animal fat,animal fat,0.0125349079
goat milk,goat milk,0.91614
"yogurt plain, whole milk","yogurt plain, whole milk",0.57700125
"eggs, chicken, free-range hens (indoor), raw","eggs, chicken, free-range hens (indoor), raw",0.4446222222
truffle,truffle,0.157
olive oil,olive oil,0.3399
cardamom,cardamom,1
lemons,lemons,0.965
"wine, red","wine, red",0.1507
"brandy, cognac","brandy, cognac",0.4576111111
"cabbage, white, raw","cabbage, white, raw",0.794
"blackberry, raw","blackberry, raw",0.4113333333
coconut milk,coconut milk,0.45572
"mango, raw","mango, raw",0.5966833333
passion fruit,passion fruit,0.9
raspberry jam,raspberry jam,0.9
"peach, raw","peach, raw",0.9
quince,quince,0.9
"raspberry, raw","raspberry, raw",0.2792
"lemon, raw","lemon, raw",0.30125
"tangerine, raw","tangerine, raw",0.515
beetroot juice,beetroot juice,1
"rhubarb, raw","rhubarb, raw",0.375
"cheese, brie, 45 % fidm.","cheese, brie, 45 % fidm.",0.302
apple cider vinegar,apple cider vinegar,0.4196166667
"apricot, dried","apricot, dried",0.21425
sesame seeds,sesame seeds,0.0775555556
pistachios,pistachios,0.06
sunflower seeds,sunflower seeds,0.2795
