"SupplierDB","MainDB"
"moorepark gubbeen rind flora","Apple pectin"
"raw milk","Milk, whole, 3.5 % fat"
"double cream","Cream, cultured, 18 % fat"
"exhausted vanilla seeds","Vanilla beans"
"diced onion","Onion, raw"
"dried rose petals","Apple pectin"
"orange peel","Orange, raw"
"preservatives .","Apple pectin"
"pitted olives","Olives, green, pickled, canned"
"red bell pepper","Pepper, sweet, red, raw"
"lambs rennet","Animal fat"
"contains","Apple pectin"
"chilli seasoning","Pepper, hot chili, raw"
"xantham gum","Apple pectin"
"fortified wheat flour","Wheat, flour, wholemeal"
"freeze dried rubbed sage","Sage, dried"
"natural vanilla flavouring.","Vanilla beans"
"sea salt.","Salt, table"
"pasteurised egg yolk","Eggs, chicken, free-range hens (indoor), raw"
"corn oil","Rapeseed oil"
"microbial culture","Yeast, bakers, compressed"
"sustainable palm fruit oil","Palm oil"
"sheep's milk","Goat milk"
"cheese cultures","Yeast, bakers, compressed"
"beta carotene","Apple pectin"
"medium curry powder","Curry powder"
"white cabbage","Cabbage, white, raw"
"lactic acid (e270)","Apple pectin"
"rice protein","Rice flour"
"white wine","Wine, white, average values"
"dark brown soft sugar","Sugar, brown"
"dried vegetables","Turnip, raw"
"pimento","Cherry, raw"
"emulsifier (soya lecithins).","Apple pectin"
"ammonium bicarbonate","Baking powder"
"gherkins","Gherkin cucumber, raw"
"glazing agents","Apple pectin"
"ascorbic acid.","Apple pectin"
"sunflower oil.","Sunflower oil"
"flora italia lc bacterial fermentation culture.","Yeast, bakers, compressed"
"white wine vinegar (sulphites)","Sherry vinegar"
"preservative [potassium sorbate]","Apple pectin"
"black truffle","Truffle"
"cane sugar syrup","Syrup, kitchen"
"s. colossal olives","Olives, green, pickled, canned"
"pecans","Cashew nuts, dry roasted"
"unasteurised cow's milk","Milk, whole, 3.5 % fat"
"spring onion","Onions, spring, raw"
"dried oregano","Oregano, dried"
"mould cultures","Yeast, bakers, compressed"
"vegetable fibres","Vegetable fat"
"e160b (ii)","Apple pectin"
"parsley seed oil","Sesame oil"
"veal fat","Veal, medium fat, raw"
"yeasts","Yeast, bakers, compressed"
"butter milk","Buttermilk"
"cheddar","Cheese, firm, Danbo, 45 % fidm."
"e270","Apple pectin"
"tamari sauce","Soy sauce"
"calcium chloride.","Apple pectin"
"nigella seeds","Sesame seeds"
"penicillum","Apple pectin"
"diphosphates","Apple pectin"
"dried onion","Onion, raw"
"pasterurised cow's milk","Milk, whole, 3.5 % fat"
"ground cayenne","Paprika (powder)"
"pasteurised cow cream (milk)","Cream, cultured, 18 % fat"
"polyphosphates (e452)","Apple pectin"
"raspberry pulp","Raspberry, raw"
"fig puree","Figs"
"polyphosphates","Apple pectin"
"stabilizing agent","Apple pectin"
"basil puree","Basil, fresh"
"tapioca starch","Starch (corn)"
"beef silverside","Beef, topside, cap off, raw"
"pectin (e440)","Apple pectin"
"ground paprika","Paprika (powder)"
"salt contains anti-caking agent [sodium hexacyanoferrate (e535)]","Salt, table"
"coating","Apple pectin"
"e451","Apple pectin"
"barley malt flour","Wheat, flour, wholemeal"
"rosemary - dried","Rosemary, dried"
"mature grated cheddar","Cheese, firm, Danbo, 45 % fidm."
"kibbled onion","Onion, raw"
"antioxidant (e301)","Apple pectin"
"veal juice","Veal, medium fat, raw"
"liquid smoke","Paprika (powder)"
"natural flavouring.","Apple pectin"
"stabiliser (xanthan gum)","Apple pectin"
"soya","Beans, soy, dried, raw"
"spice mix","Spices"
"blackberries","Blackberry, raw"
"yuzu juice","Tangerine, raw"
"tahini paste (sesame seeds)","Tahin, sesame paste"
"coconut flakes","Desiccated coconut"
"distilled vinegar","Vinegar (Malt)"
"vegetarian rennett","Vegetable fat"
"preservative (potassium sorbate)","Apple pectin"
"all spice","Spices"
"preservative .","Apple pectin"
"colour [annatto (e160b)]","Apple pectin"
"microbial enzyme","Apple pectin"
"mixed mesophilic culture","Yeast, bakers, compressed"
"seasoning","Spices"
"cheddar cheese (cows milk)","Cheese, firm, Danbo, 45 % fidm."
"ginger pure","Ginger root, raw"
"e250","Apple pectin"
"enzymes","Apple pectin"
"lactic acid cultures","Yeast, bakers, compressed"
"chipotle peppers","Pepper, hot chili, raw"
"roasted red peppers","Marinated grilled peppers"
"allspice berries","Spices"
"armagnac","Brandy, cognac"
"wheat malt","Wheat, flour, wholemeal"
"nigella seed","Sesame seeds"
"salt contains anti-caking agent [sodium hexacyaferrate (e535ii)]","Salt, table"
"colour [annatto norbixin e160b (ii)]","Apple pectin"
"white port","Wine, white, average values"
"preservative [natamycine (e235)*]","Apple pectin"
"thermised ewe's milk","Goat milk"
"pasteurised cows milk cream","Cream, cultured, 18 % fat"
"sodium ferrocynide e535","Baking powder"
"acidity regulator  [citric acid]","Apple pectin"
"truffle oil","Olive oil"
"bay leaf","Basil, dried"
"pork belly","Pork, loin, lean, raw"
"starch-pectin","Apple pectin"
"acidity regulator [citric acid]","Apple pectin"
"e500","Apple pectin"
"wholewheat flour","Wheat, flour, wholemeal"
"inulin","Apple pectin"
"red chilli","Pepper, hot chili, raw"
"raising agent [sodium bicarbonate]","Baking powder"
"organic soya milk","Soy milk, with added calcium"
"garlic oil","Garlic in oil"
"thermised sheep's milk","Goat milk"
"mould culture (penicillium roqueforti)","Yeast, bakers, compressed"
"malic acid.","Apple pectin"
"organic black non-split vanilla bean","Vanilla beans"
"vitamins","Apple pectin"
"black truffles","Truffle"
"blackcurrants","Currant, black, raw"
"pasteurised ewe's milk","Goat milk"
"organic soya beans","Beans, soy, dried, raw"
"starter cultures (trace)","Yeast, bakers, compressed"
"red chillies .","Pepper, hot chili, raw"
"acidity regulator [citric acid (e330)].","Apple pectin"
"ripening cultures","Yeast, bakers, compressed"
"gum acacia","Apple pectin"
"carbon dioxide","Apple pectin"
"steviol glycosides","Apple pectin"
"veal stock","Veal, medium fat, raw"
"e331","Apple pectin"
"pectins","Apple pectin"
"pasteurised whole cows milk","Milk, whole, 3.5 % fat"
"oil","Sunflower oil"
"concentrated grape must","Grape, raw"
"dvi cultures","Yeast, bakers, compressed"
"venison","Deer meat"
"red pepper juice","Pepper, sweet, red, raw"
"fresh garlic","Garlic, raw"
"anchovies (fish)","Anchovies"
"chipotle peppers in adobo sauce","Ajvar, relish"
"dried parsley","Parsley, dried"
"cayenne","Paprika (powder)"
"spring water","Mineral water (non-carbonated)"
"grand marnier extract  vol.","Brandy, cognac"
"ground nutmeg","Nutmeg"
"salt  contains anti-caking agent","Salt, table"
"horseradish root","Horseradish"
"miso paste","Soy sauce"
"japonica wasabi","Horseradish"
"chopped dates","Dates"
"vegetable oils","Sunflower oil"
"vegetarian coagulant","Vegetable fat"
"lemon crumb","Lemon, raw"
"ground cardamom","Cardamom"
"vegetable oil (palm)","Sunflower oil"
"full cream milk powder","Cream powder"
"basil paste  contains basil","Basil, fresh"
"pasteurised double cream (milk)","Cream, cultured, 18 % fat"
"potassium metabisulphite","Apple pectin"
"lychee","Passion fruit"
"thickner","Apple pectin"
"black truffle flavouring","Truffle"
"fermented rice alcohol","Rice vinegar"
"white sugar","Sugar, white"
"concentrated lemon juice.","Lemon juice"
"acesulfame k","Apple pectin"
"wholegrain mustard","Mustard, yellow, ready made"
"with calcium","Apple pectin"
"mixed spices","Spices"
"sodium chloride","Salt, table"
"cornichons in brine","Cornichons"
"malted barley flour","Wheat, flour, wholemeal"
"concentrate lemon juice","Lemon juice"
"diced tomatoes","Tomato, peeled, canned"
"tamarind extract","Tamarind"
"ancho chilli","Pepper, hot chili, raw"
"macadamias","Cashew nuts, dry roasted"
"flavours","Apple pectin"
"b- carotene","Apple pectin"
"black sesame seeds","Sesame seeds"
"white miso paste","Soy sauce"
"e476 polyglycerol polyricinoleate","Apple pectin"
"dairy cultures","Yeast, bakers, compressed"
"dark chocolate (soya)","Chocolate, dark"
"e452","Apple pectin"
"calcium citrate (e333).","Apple pectin"
"organic cow's milk","Milk, whole, 3.5 % fat"
"truffle flavouring","Truffle"
"aubergines","Aubergine, raw"
"poppy seeds","Sesame seeds"
"koji seed","Sesame seeds"
"antioxidant (sodium ascorbate)","Baking powder"
"aged red wine vinegar","Sherry vinegar"
"cracked black pepper.","Pepper, black"
"emulsifier (sunflower lecithin).","Sunflower oil"
"stabiliser [xanthan gum (e415)]","Apple pectin"
"chia seed","Chia"
"thyme - dried","Thyme, dried"
"mesophilic culture","Yeast, bakers, compressed"
"flavour","Apple pectin"
"gold shimmer powder","Apple pectin"
"dried mint.","Mint, dried"
"sodium hexacyanoferrate","Baking powder"
"sodium metabisulphite","Baking powder"
"malted barley extract","Barley malt extract"
"caster sugar","Sugar, white"
"citric acid; antioxidant","Apple pectin"
"raspberry powder","Raspberry, raw"
"orange zest","Orange, raw"
"salmo salar (fish)","Salmon, Atlantic, wild, raw"
"gluten free soy sauce","Soy sauce"
"pasteurised full fat cows milk","Milk, whole, 3.5 % fat"
"pistachio nuts","Pistachios"
"microbial rennet .","Animal fat"
"apple vinegar","Apple cider vinegar"
"chinese five spice","Spices"
"modified corn starch","Starch (corn)"
"fruit pectin (e440)","Apple pectin"
"malt vinegar (from barley)","Vinegar (Malt)"
"emulsifier [soya lecithin]","Apple pectin"
"antioxidant [ascorbic acid (e300)].","Apple pectin"
"natural mint flavour","Mint, dried"
"gooseberries","Gooseberry, raw"
"e252","Apple pectin"
"pasteurised cow's and goat's milk","Milk, whole, 3.5 % fat"
"ground green cardamom","Cardamom"
"maltitol","Apple pectin"
"vegetable juice concentrate","Vegetable fat"
"smoke flavour","Paprika (powder)"
"raw cow's milk","Milk, whole, 3.5 % fat"
"sodium citrates (e331)","Apple pectin"
"milk protein concentrate","Milk, whole, 3.5 % fat"
"full fat soft cheese","Cheese, Cream, 60 % fidm."
"coffee extract","Coffee bean, roasted, ground"
"gluten free oat fibre","Oats, rolled, not enriched"
"emulsifier  [soya lecithin]","Apple pectin"
"macadamia nuts","Cashew nuts, dry roasted"
"zahtar spice blend","Spices"
"starch  pectin","Apple pectin"
"pecan","Cashew nuts, dry roasted"
"flavoring","Apple pectin"
"riboflavin","Apple pectin"
"sodium citrate","Baking powder"
"semi skimmed milk","Milk, partly skimmed, 1.5 % fat"
"lactic","Apple pectin"
"mustard powder","Mustard, yellow, ready made"
"apple extract","Apple, raw, all varieties"
"cheese [colour beta carotene (e160a)]","Apple pectin"
"tahini paste (sesame)","Tahin, sesame paste"
"stilton cheese (milk)","Cheese, Danish Blue, 50 % fidm."
"e471","Apple pectin"
"mandarin","Tangerine, raw"
"redcurrants","Currant, red, raw"
"cheeses","Cheese, firm, Danbo, 45 % fidm."
"natural flavourings including caffeine","Apple pectin"
"mango puree","Mango, raw"
"mushroom juices","Mushroom, raw"
"preservative [potassium sorbate (e202)]","Apple pectin"
"redcurrant","Currant, red, raw"
"pasteurised free range egg yolk","Eggs, chicken, free-range hens (indoor), raw"
"glucono-delta-lactone; firming agent","Apple pectin"
"goat and sheeps milk","Goat milk"
"colour [annatto norboxin e160b (ii)]","Apple pectin"
"kirsch","Brandy, cognac"
"ground bay leaf","Basil, dried"
"fermented wheat flour","Wheat, flour, wholemeal"
"sunflower kernels","Sunflower seeds"
"colour [annatto norbixin e160b(ii)]","Apple pectin"
"pasteurised cows cream (milk)","Cream, cultured, 18 % fat"
"medium fat soft cheese","Cheese, Brie, 45 % fidm."
"sodium nitrite (e250)","Apple pectin"
"dried glucose syrup","Syrup, kitchen"
"magnesium carbonate (e504)","Apple pectin"
"raising agent (sodium bicarbonate)","Baking powder"
"green peppercorns","Pepper, black"
"natural vanilla flavouring .","Vanilla beans"
"yutaka tamari soy sauce","Soy sauce"
"thickeners","Apple pectin"
"malted wheat flour","Wheat, flour, wholemeal"
"ruby port","Wine, red"
"animal rennet (trace)","Animal fat"
"peppercorns","Pepper, black"
"carbonated water","Water, bottled, carbonated"
"antioxidant [sodium ascorbate (e301)]","Apple pectin"
"cow milk","Milk, whole, 3.5 % fat"
"dried garlic","Garlic, raw"
"high oleic sunflower oil","Sunflower oil"
"xanthan gum (e415)","Apple pectin"
"rhubarb & vanilla fruit preparation","Rhubarb, raw"
"vine leaves","Chard"
"vegetarian renent","Vegetable fat"
"wasabi powder","Horseradish"
"salt contains anti-caking agent [sodium  hexacyanoferrate (e535)]","Salt, table"
"emulsifiers","Apple pectin"
"dried soy sauce","Soy sauce"
"phosphoric acid","Apple pectin"
"raising agent (ammonium bicarbonate)","Baking powder"
"lactic acid.","Apple pectin"
"ingredients","Apple pectin"
"wheat flour (gluten)","Wheat, flour, wholemeal"
"mirin seasoning","Apple pectin"
"emulsifier (sunflower  lecithin)","Sunflower oil"
"dvi vegetarian rennet","Vegetable fat"
"0","Water, tap, drinking, average values"
"snimal rennet","Animal fat"
"pasteurised cream","Cream, cultured, 18 % fat"
"emulsifier (mono- and diglycerides of fatty acids).","Apple pectin"
"basil pure","Basil, fresh"
"brown mustard seed","Mustard, yellow, ready made"
"pasteurized buffalo cheese (milk)","Cheese, semihard, Mozzarella, 30 % fidm."
"pork leg","Pork, loin, lean, raw"
"ground clove","Cloves"
"dried whole milk","Milk powder"
"soy sauce powder","Soy sauce"
"vegetable oil (rapeseed)","Oil, rape seed (no eruca acid)"
