,Supplier,Product Code,Product Name,Case Size,Ingredients,MissingName,MatchedName,Main,CO2perKG
2199,"[""pasteurised cow's milk nan%"", 'salt conatins anti caking agent ( sodium hexacyanoferrate) nan%', 'lactic culture nan%', 'vegetarian rennet nan%', 'blue mould culture nan%']",EB141W30XH,OXFORD BLUE WEDGE 100X30G,,"pasteurised cow's milk,  salt conatins anti caking agent [ sodium hexacyanoferrate], lactic culture, vegetarian rennet, blue mould culture","['salt conatins anti caking agent ( sodium hexacyanoferrate)', 'lactic culture', 'vegetarian rennet', 'blue mould culture']","[""pasteurised cow's milk->milk, partly skimmed, 1.5 % fat""]","['milk, partly skimmed, 1.5 % fat']",0.61
2200,"[""pasteurised cow's milk nan%"", 'salt conatins anti caking agent ( sodium hexacyanoferrate) nan%', 'lactic culture nan%', 'vegetarian rennet nan%', 'blue mould culture nan%']",EB141W35XH,OXFORD BLUE WEDGE 100 X 35G,,"pasteurised cow's milk,  salt conatins anti caking agent [ sodium hexacyanoferrate], lactic culture, vegetarian rennet, blue mould culture","['salt conatins anti caking agent ( sodium hexacyanoferrate)', 'lactic culture', 'vegetarian rennet', 'blue mould culture']","[""pasteurised cow's milk->milk, partly skimmed, 1.5 % fat""]","['milk, partly skimmed, 1.5 % fat']",0.61
2201,"[""pasteurised cow's milk nan%"", 'salt conatins anti caking agent ( sodium hexacyanoferrate) nan%', 'lactic culture nan%', 'vegetarian rennet nan%', 'blue mould culture nan%']",EB141W40,OXFORD BLUE WEDGE 40G,,"pasteurised cow's milk,  salt conatins anti caking agent [ sodium hexacyanoferrate], lactic culture, vegetarian rennet, blue mould culture","['salt conatins anti caking agent ( sodium hexacyanoferrate)', 'lactic culture', 'vegetarian rennet', 'blue mould culture']","[""pasteurised cow's milk->milk, partly skimmed, 1.5 % fat""]","['milk, partly skimmed, 1.5 % fat']",0.61
2202,"[""pasteurised cow's milk nan%"", 'salt nan%', 'microbial rennet nan%', 'starter culture nan%', 'mould culture nan%', 'colour: annatto nan%']",EB147C15,SHROPSHIRE BLUE WEDGE 150G,,"pasteurised cow's milk, salt, microbial rennet, starter culture, mould culture, colour: annatto","['microbial rennet', 'starter culture', 'mould culture', 'colour: annatto']","[""pasteurised cow's milk->milk, partly skimmed, 1.5 % fat""]","['milk, partly skimmed, 1.5 % fat', 'salt']",0.46499999999999997
2203,"[""pasteurised cow's milk nan%"", 'salt nan%', 'microbial rennet nan%', 'starter culture nan%', 'mould culture nan%', 'colour: annatto nan%']",EB147C15X10,SHROPSHIRE BLUE WEDGE 10 X 150G,,"pasteurised cow's milk, salt, microbial rennet, starter culture, mould culture, colour: annatto","['microbial rennet', 'starter culture', 'mould culture', 'colour: annatto']","[""pasteurised cow's milk->milk, partly skimmed, 1.5 % fat""]","['milk, partly skimmed, 1.5 % fat', 'salt']",0.46499999999999997
2204,"[""pasteurised cow's milk nan%"", 'salt nan%', 'microbial rennet nan%', 'starter culture nan%', 'mould culture nan%', 'colour: annatto nan%']",EB147C20X10,SHROPSHIRE BLUE WEDGE 10 X 200G,,"pasteurised cow's milk, salt, microbial rennet, starter culture, mould culture, colour: annatto","['microbial rennet', 'starter culture', 'mould culture', 'colour: annatto']","[""pasteurised cow's milk->milk, partly skimmed, 1.5 % fat""]","['milk, partly skimmed, 1.5 % fat', 'salt']",0.46499999999999997
2205,"[""pasteurised cow's milk nan%"", 'salt nan%', 'microbial rennet nan%', 'starter culture nan%', 'mould culture nan%', 'colour: annatto nan%']",EB147C25,SHROPSHIRE BLUE WEDGE 250G,,"pasteurised cow's milk, salt, microbial rennet, starter culture, mould culture, colour: annatto","['microbial rennet', 'starter culture', 'mould culture', 'colour: annatto']","[""pasteurised cow's milk->milk, partly skimmed, 1.5 % fat""]","['milk, partly skimmed, 1.5 % fat', 'salt']",0.46499999999999997
2206,"[""pasteurised cow's milk nan%"", 'salt nan%', 'microbial rennet nan%', 'starter culture nan%', 'mould culture nan%', 'colour: annatto nan%']",EB147C50,SHROPSHIRE BLUE WEDGE 500G,,"pasteurised cow's milk, salt, microbial rennet, starter culture, mould culture, colour: annatto","['microbial rennet', 'starter culture', 'mould culture', 'colour: annatto']","[""pasteurised cow's milk->milk, partly skimmed, 1.5 % fat""]","['milk, partly skimmed, 1.5 % fat', 'salt']",0.46499999999999997
2207,"[""pasteurised cow's milk nan%"", 'salt nan%', 'microbial rennet nan%', 'starter culture nan%', 'mould culture nan%', 'colour: annatto nan%']",EB147W20X25,SHROPSHIRE BLUE WEDGE 25X20G,,"pasteurised cow's milk, salt, microbial rennet, starter culture, mould culture, colour: annatto","['microbial rennet', 'starter culture', 'mould culture', 'colour: annatto']","[""pasteurised cow's milk->milk, partly skimmed, 1.5 % fat""]","['milk, partly skimmed, 1.5 % fat', 'salt']",0.46499999999999997
2208,"[""pasteurised cow's milk nan%"", 'salt nan%', 'microbial rennet nan%', 'starter culture nan%', 'mould culture nan%', 'colour: annatto nan%']",EB147W20X50,SHROPSHIRE BLUE WEDGE 50X20G,,"pasteurised cow's milk, salt, microbial rennet, starter culture, mould culture, colour: annatto","['microbial rennet', 'starter culture', 'mould culture', 'colour: annatto']","[""pasteurised cow's milk->milk, partly skimmed, 1.5 % fat""]","['milk, partly skimmed, 1.5 % fat', 'salt']",0.46499999999999997
