,Supplier,Product Code,Product Name,Case Size,Ingredients,MissingName,MatchedName,Main,CO2perKG
2276,"['milk nan%', 'salt nan%', 'animal rennet (trace) nan%', 'freeze dried starter cultures (trace) nan%']",EC141W30X50,SINGLE GLOUCESTER MARTELL WEDGE 30G X 50,,"milk, salt, animal rennet (trace), freeze dried starter cultures (trace)","['animal rennet (trace)', 'freeze dried starter cultures (trace)']",['milk->goat milk'],"['goat milk', 'salt']",2.3600000000000003
2277,"['pasteurised cows milk nan%', 'salt nan%', 'colour  (annatto norbixin e160b ii)) nan%', 'animal rennet nan%', 'freeze dried starter cultures nan%']",EC152C25,DOUBLE GLOUCESTER MARTELL CUT 250G,,"pasteurised cow�s milk, salt, colour  [annatto norbixin e160b (ii)],  animal rennet, freeze dried starter cultures","['colour  (annatto norbixin e160b ii))', 'animal rennet', 'freeze dried starter cultures']","['pasteurised cows milk->milk, partly skimmed, 1.5 % fat']","['milk, partly skimmed, 1.5 % fat', 'salt']",0.46499999999999997
2278,['cheese (milk) nan%'],EC153,KIRKHAMS LANCASHIRE CREAMY RING 2.5KG,,cheese (milk),['cheese (milk)'],,,
2279,"['pasteurised cows milk nan%', 'salt nan%', 'nettle mix contains nan%', 'vegetarian rennet nan%', 'nettle nan%', 'chive nan%', 'parsley nan%', 'garlic nan%', 'onio nan%']",EC159W35XH,NORTHUMBERLAND NETTLE WEDGE 35G X 100,,"pasteurised cow�s milk, salt, nettle mix contains [nettle, chive, parsley, garlic, onion], vegetarian rennet","['nettle mix contains', 'vegetarian rennet']","['pasteurised cows milk->milk, partly skimmed, 1.5 % fat', 'nettle->nettles', 'chive->chives, raw', 'parsley->parsley, raw', 'garlic->garlic, raw', 'onio->red onion']","['milk, partly skimmed, 1.5 % fat', 'salt', 'nettles', 'chives, raw', 'parsley, raw', 'garlic, raw', 'red onion']",0.5161266666666666
2280,"['cheddar cheese nan%', 'freeze dried rubbed sage nan%', 'copper chlorophyll nan%', ""pasteurised cow's milk nan%"", 'salt nan%', 'microbial rennet nan%', 'starter cultur nan%']",EC195W15XH,SAGE DERBY WEDGE 100 X 15G,,"cheddar cheese (pasteurised cow's milk, salt,microbial rennet, starter culture), freeze dried rubbed sage, copper chlorophyll","['cheddar cheese', 'freeze dried rubbed sage', 'copper chlorophyll', 'microbial rennet', 'starter cultur']","[""pasteurised cow's milk->milk, partly skimmed, 1.5 % fat""]","['milk, partly skimmed, 1.5 % fat', 'salt']",0.46499999999999997
2281,"['cheddar cheese nan%', 'freeze dried rubbed sage nan%', 'copper chlorophyll nan%', ""pasteurised cow's milk nan%"", 'salt nan%', 'microbial rennet nan%', 'starter cultur nan%']",EC195W20XH,SAGE DERBY WEDGE 100 X 20G,,"cheddar cheese (pasteurised cow's milk, salt,microbial rennet, starter culture), freeze dried rubbed sage, copper chlorophyll","['cheddar cheese', 'freeze dried rubbed sage', 'copper chlorophyll', 'microbial rennet', 'starter cultur']","[""pasteurised cow's milk->milk, partly skimmed, 1.5 % fat""]","['milk, partly skimmed, 1.5 % fat', 'salt']",0.46499999999999997
2282,"['cheese nan%', 'milk nan%', 'colour: annatto nan%', 'lar nan%']",EC215,SPARKENHOE RED LEICESTER 1/4 2.5KG,,"cheese (milk, colour: annatto, lard)","['colour: annatto', 'lar']","['cheese->blue cheese', 'milk->goat milk']","['blue cheese', 'goat milk']",2.92
2283,"['pasteurised cows milk nan%', 'salt nan%', 'skimmed milk powder nan%', 'lactic culture nan%', 'vegetarian rennet nan%', 'colour: annatto: e160b (ii) , nan%']",EC248C12X10,ROTHBURY RED WEDGE 120G X 10,,"pasteurised cow�s milk, salt, skimmed milk powder, lactic culture, vegetarian rennet, colour: annatto: e160b (ii)
","['skimmed milk powder', 'lactic culture', 'vegetarian rennet', 'colour: annatto: e160b (ii) ,']","['pasteurised cows milk->milk, partly skimmed, 1.5 % fat']","['milk, partly skimmed, 1.5 % fat', 'salt']",0.46499999999999997
2284,['cheese (milk) nan%'],EC294FIX,CAMEMBERT SUSSEX FIXED 820G,,cheese (milk),['cheese (milk)'],,,
2285,['cheese (milk) nan%'],EC294W20XH,SUSSEX CAMEMBERT WEDGE 20G X 100,,cheese (milk),['cheese (milk)'],,,
2286,['cheese (milk) nan%'],EC294W30X50,SUSSEX CAMEMBERT 30G X 50,,cheese (milk),['cheese (milk)'],,,
2287,"['pasteurised full fat cows milk nan%', 'salt nan%', 'vegetarian rennet nan%', 'starter cultures. nan%', 'microbial enzyme nan%', 'sodium benzoate nan%', 'calcium chloride nan%', 'wate nan%']",EC306W20XH,MAYFIELD WEDGE 20GX100,,"pasteurised full fat cow�s milk ,salt, vegetarian rennet (microbial enzyme, sodium benzoate, calcium chloride, water), starter cultures.","['pasteurised full fat cows milk', 'vegetarian rennet', 'starter cultures.', 'microbial enzyme', 'sodium benzoate', 'calcium chloride']",['wate->water'],"['salt', 'water']",0.1602
2288,"['pasteurised full fat cows milk nan%', 'salt nan%', 'vegetarian rennet nan%', 'starter cultures. nan%', 'microbial enzyme nan%', 'sodium benzoate nan%', 'calcium chloride nan%', 'wate nan%']",EC308,MAYFIELD CUT 1KG,,"pasteurised full fat cow�s milk ,salt, vegetarian rennet (microbial enzyme, sodium benzoate, calcium chloride, water), starter cultures.","['pasteurised full fat cows milk', 'vegetarian rennet', 'starter cultures.', 'microbial enzyme', 'sodium benzoate', 'calcium chloride']",['wate->water'],"['salt', 'water']",0.1602
2289,"['pasteurised cows milk nan%', 'starter culture nan%', 'salt nan%', 'microbial rennet nan%']",EC324,WENSLEYDALE CRUMB 1KG,,"pasteurised cow�s milk, starter culture, salt, microbial rennet","['starter culture', 'microbial rennet']","['pasteurised cows milk->milk, partly skimmed, 1.5 % fat']","['milk, partly skimmed, 1.5 % fat', 'salt']",0.46499999999999997
2290,['cheese (milk) nan%'],EC363W25X50,BATH SOFT CHEESE  WEDGE 50 X 25G,,cheese (milk),['cheese (milk)'],,,
2291,['cheese (milk) nan%'],EC363W25XH,BATH SOFT CHEESE WEDGE 100 X 25G,,cheese (milk),['cheese (milk)'],,,
