Kategorie,Name DE,Name EN,COâ‚‚ / 1.6FU (ohne Flug),kg CO2 / kg (ohne Flug),CO2 Base Value [g],Summe Transport fÃ¼r 1.6 FU,CO2 Land Transport [g],CO2 Sea Transport [g],CO2 Air Transport [g],Food Unit,Energy [kcal],kcal fÃ¼r 1.6FU,Gewicht fÃ¼r 1.6 FU,Name FR
legumes,"Beans, green, raw","Beans, green, raw",,1.04,,,,,,,,,,
legumes,"Bean sprouts, mung, raw","Bean sprouts, mung, raw",,1.04,,,,,,,,,,
legumes,"Bean sprouts, average values, raw","Bean sprouts, average values, raw",,1.04,,,,,,,,,,
legumes,"Sugar pea (Snow pea, Mangetout) raw","Sugar pea (Snow pea, Mangetout) raw",,0.74,,,,,,,,,,
legumes,"Beans, soy, dried, raw","Beans, soy, dried, raw",,1.16,,,,,,,,,,
legumes,"Peas, green, frozen","Peas, green, frozen",,0.87,,,,,,,,,,
beverages,"Water, bottled, carbonated","Water, bottled, carbonated",,0.22,,,,,,,,,,
beverages,"Soft drink, sugar added","Soft drink, sugar added",,0.55,,,,,,,,,,
beverages,"Apple juice, canned or bottled","Apple juice, canned or bottled",,1.64,,,,,,,,,,
beverages,"Sherry, dry","Sherry, dry",,4.27,,,,,,,,,,
beverages,"Liqueur, coffee with cream","Liqueur, coffee with cream",,3.39,,,,,,,,,,
diary & eggs,"Margarine, 70 % fat, table use, soft, vegetable fat","Margarine, 70 % fat, table use, soft, vegetable fat",,2.93,,,,,,,,,,
fish & seafood,"Garfish, raw","Garfish, raw",,9.7,,,,,,,,,,
fish & seafood,"Salmon, Atlantic, wild, raw","Salmon, Atlantic, wild, raw",,9.46,,,,,,,,,,
fish & seafood,"Mackerel, raw","Mackerel, raw",,9.12,,,,,,,,,,
fish & seafood,"Plaice, raw","Plaice, raw",,9.87,,,,,,,,,,
fish & seafood,"Herring, raw","Herring, raw",,9.34,,,,,,,,,,
fish & seafood,"Saithe, raw","Saithe, raw",,9.87,,,,,,,,,,
fish & seafood,"Cod, fillet, raw","Cod, fillet, raw",,9.87,,,,,,,,,,
fish & seafood,"Plaice, fillet, breaded, dybfrost","Plaice, fillet, breaded, dybfrost",,6.66,,,,,,,,,,
fish & seafood,"Saithe (UK), pollock (US), fillet, frozen","Saithe (UK), pollock (US), fillet, frozen",,9.78,,,,,,,,,,
fish & seafood,"Tuna, raw","Tuna, raw",,10.14,,,,,,,,,,
fish & seafood,"Salmon, Atlantic, aquaculture, cold smoked","Salmon, Atlantic, aquaculture, cold smoked",,11.89,,,,,,,,,,
fish & seafood,"Salmon, atlantic, aquaculture, hot smoked","Salmon, atlantic, aquaculture, hot smoked",,12.2,,,,,,,,,,
fish & seafood,"Salmon, atlantic, aquaculture, raw","Salmon, atlantic, aquaculture, raw",,9.11,,,,,,,,,,
spices & condiments,"Mayonnaise, low fat","Mayonnaise, low fat",,1.22,,,,,,,,,,
spices & condiments,Mayonnaise,Mayonnaise,,3.55,,,,,,,,,,
spices & condiments,"Remoulade, average values","Remoulade, average values",,1.88,,,,,,,,,,
fish & seafood,"Oyster, raw","Oyster, raw",,1.13,,,,,,,,,,
fish & seafood,"Mussel, raw","Mussel, raw",,0.22,,,,,,,,,,
fish & seafood,"Octopus, raw","Octopus, raw",,0.46,,,,,,,,,,
vegetables & mushrooms,"Mushroom, raw","Mushroom, raw",,0.47,,,,,,,,,,
vegetables & mushrooms,Oyster mushroom,Oyster mushroom,,0.47,,,,,,,,,,
diary & eggs,"Almondmilk, unfortified","Almondmilk, unfortified",,3.52,,,,,,,,,,
diary & eggs,"Ricemilk, with added calcium","Ricemilk, with added calcium",,0.39,,,,,,,,,,
diary & eggs,"Oatmilk, with added calcium","Oatmilk, with added calcium",,0.37,,,,,,,,,,
diary & eggs,"Soy milk, with added calcium","Soy milk, with added calcium",,0.38,,,,,,,,,,
spices & condiments,"Bouillon, chicken, prepared","Bouillon, chicken, prepared",,0.38,,,,,,,,,,
meat,"Meat balls, canned","Meat balls, canned",,11.42,,,,,,,,,,
spices & condiments,"Bouillon, beef, prepared","Bouillon, beef, prepared",,0.52,,,,,,,,,,
meat,"Meat balls, average values","Meat balls, average values",,11.42,,,,,,,,,,
prepared,"Dumplings, average values","Dumplings, average values",,1.27,,,,,,,,,,
meat,"Meat balls, frozen","Meat balls, frozen",,11.08,,,,,,,,,,
prepared,"Soup, tomato, ready to eat","Soup, tomato, ready to eat",,1.84,,,,,,,,,,
spices & condiments,"Bouillon, beef, concentrated, cube","Bouillon, beef, concentrated, cube",,7.26,,,,,,,,,,
prepared,"Dumplings, frozen","Dumplings, frozen",,1.31,,,,,,,,,,
meat,"Chicken, grilled, fast food","Chicken, grilled, fast food",,3.61,,,,,,,,,,
meat,"Chicken nuggets, deepfried, ready meals","Chicken nuggets, deepfried, ready meals",,3.24,,,,,,,,,,
prepared,"Pizza with tomato and cheese, ready meals","Pizza with tomato and cheese, ready meals",,2.96,,,,,,,,,,
prepared,"Pizza with seafood, tomato and cheese, ready meals","Pizza with seafood, tomato and cheese, ready meals",,3.79,,,,,,,,,,
prepared,"Pizza with salami, tomato and cheese, ready meals","Pizza with salami, tomato and cheese, ready meals",,3.15,,,,,,,,,,
prepared,"Pizza with vegetables, fruit, tomato and cheese, ready meals","Pizza with vegetables, fruit, tomato and cheese, ready meals",,2.56,,,,,,,,,,
prepared,"Pizza with meat, tomato and cheese, ready meals","Pizza with meat, tomato and cheese, ready meals",,3.91,,,,,,,,,,
prepared,"Pizza with meat and seafood, tomato and cheese, ready meals","Pizza with meat and seafood, tomato and cheese, ready meals",,3.85,,,,,,,,,,
meat,"Veal and pork, mince, 15-20% fat, raw","Veal and pork, mince, 15-20% fat, raw",,15.26,,,,,,,,,,
diary & eggs,Goat milk,Goat milk,,4.4,,,,,,,,,,
Confectionary,Marzipan,Marzipan,,6.25,,,,,,,,,,
spices & condiments,"Syrup, kitchen","Syrup, kitchen",,0.93,,,,,,,,,,
starches & bread,"Pasta, raw","Pasta, raw",,1.73,,,,,,,,,,
fruits & berries,"Apple, raw, all varieties","Apple, raw, all varieties",,0.66,,,,,,,,,,
fruits & berries,"Pear, raw","Pear, raw",,0.38,,,,,,,,,,
fruits & berries,"Grape, raw","Grape, raw",,0.94,,,,,,,,,,
meat,"Pork, collar with rind, raw","Pork, collar with rind, raw",,3.58,,,,,,,,,,
meat,"Pork, ham, topside (M. Semimembranosus), lean, raw","Pork, ham, topside (M. Semimembranosus), lean, raw",,3.58,,,,,,,,,,
meat,"Pork, loin, lean, raw","Pork, loin, lean, raw",,4.19,,,,,,,,,,
meat,"Pork, tenderloin, trimmed, raw","Pork, tenderloin, trimmed, raw",,5.4,,,,,,,,,,
meat,"Pork, mince, 5-10% fat, raw","Pork, mince, 5-10% fat, raw",,2.9,,,,,,,,,,
meat,"Pork, collar, defatted, raw","Pork, collar, defatted, raw",,3.57,,,,,,,,,,
meat,"Pork, mince, 15-20% fat, raw","Pork, mince, 15-20% fat, raw",,2.97,,,,,,,,,,
meat,"Minced meat, spaghetti sauce type, average values, ready meals","Minced meat, spaghetti sauce type, average values, ready meals",,13.74,,,,,,,,,,
prepared,"Spring roll, frozen, ready meals","Spring roll, frozen, ready meals",,1.99,,,,,,,,,,
prepared,"Pork in curry sauce, frozen, ready meals","Pork in curry sauce, frozen, ready meals",,3.82,,,,,,,,,,
prepared,"Pizza Romana, frozen, ready meals","Pizza Romana, frozen, ready meals",,2.87,,,,,,,,,,
prepared,"Liver, pig, in cream sauce, frozen, ready meals","Liver, pig, in cream sauce, frozen, ready meals",,2.9,,,,,,,,,,
prepared,"Pizza Napolitana, frozen, ready meals","Pizza Napolitana, frozen, ready meals",,2.99,,,,,,,,,,
prepared,"Spring roll, deepfried, ready meals","Spring roll, deepfried, ready meals",,1.99,,,,,,,,,,
prepared,"Pizza with broccoli, frozen, ready meals","Pizza with broccoli, frozen, ready meals",,2.58,,,,,,,,,,
prepared,"Pizza with tuna, frozen, ready meals","Pizza with tuna, frozen, ready meals",,3.26,,,,,,,,,,
prepared,"Pork, minced and bound with flour and egg, boiled, frozen, ready meals","Pork, minced and bound with flour and egg, boiled, frozen, ready meals",,2.08,,,,,,,,,,
vegetables & mushrooms,"Potato, raw","Potato, raw",,0.36,,,,,,,,,,
vegetables & mushrooms,"Carrot, raw","Carrot, raw",,0.25,,,,,,,,,,
vegetables & mushrooms,"Radish, raw","Radish, raw",,0.37,,,,,,,,,,
vegetables & mushrooms,"Beet, red, raw","Beet, red, raw",,0.31,,,,,,,,,,
vegetables & mushrooms,"Celeriac, celery root, raw","Celeriac, celery root, raw",,0.3,,,,,,,,,,
vegetables & mushrooms,"Ginger root, raw","Ginger root, raw",,1.85,,,,,,,,,,
vegetables & mushrooms,"Fennel, root, raw","Fennel, root, raw",,4.46,,,,,,,,,,
vegetables & mushrooms,"Turnip, raw","Turnip, raw",,0.25,,,,,,,,,,
vegetables & mushrooms,"Onions, chopped, frozen","Onions, chopped, frozen",,0.37,,,,,,,,,,
vegetables & mushrooms,"Carrot, frozen","Carrot, frozen",,0.37,,,,,,,,,,
vegetables & mushrooms,"Onion, raw","Onion, raw",,0.9,,,,,,,,,,
vegetables & mushrooms,"Onions, spring, raw","Onions, spring, raw",,0.9,,,,,,,,,,
vegetables & mushrooms,"Cassava, raw","Cassava, raw",,0.74,,,,,,,,,,
vegetables & mushrooms,"Parsley root, raw","Parsley root, raw",,0.89,,,,,,,,,,
diary & eggs,"Cheese, semihard, Feta, 40 % fidm","Cheese, semihard, Feta, 40 % fidm",,2.92,,,,,,,,,,
diary & eggs,"Cheese, Danish Blue, 50 % fidm.","Cheese, Danish Blue, 50 % fidm.",,7.72,,,,,,,,,,
meat,"Lamb, leg, unspecified , raw","Lamb, leg, unspecified , raw",,27.43,,,,,,,,,,
meat,"Lamb, meat, average values, raw","Lamb, meat, average values, raw",,27.43,,,,,,,,,,
fish & seafood,"Crayfish, raw","Crayfish, raw",,3.55,,,,,,,,,,
fish & seafood,"Shrimps, boiled, shell removed","Shrimps, boiled, shell removed",,10.52,,,,,,,,,,
fish & seafood,"Lobster, raw","Lobster, raw",,3.55,,,,,,,,,,
