,Supplier,Product Code,Product Name,Case Size,Ingredients,MissingName,MatchedName,Main,CO2perKG
0,"['sugar 33.3%', 'cocoa butter 33.3%', 'milk powder 33.3%', 'emulsifier 0.0%', 'soya lecithin 0.0%', 'flavourings 0.0%', 'natural vanilla flavour 0.0%']",CH009,CALLEBAUT WHITE DROPS 29.5% 2.5KG,,"sugar, cocoa butter, milk powder, emulsifier: soya lecithin, flavourings:natural vanilla flavour","['emulsifier', 'soya lecithin', 'flavourings', 'natural vanilla flavour']","['cocoa butter', 'milk powder', 'sugar->sugar, white']","['sugar, white', 'cocoa butter', 'milk powder']",1.796
1,"['cocoa mass 50.0%', 'sugar 50.0%', 'fat reduced cocoa powder 0.0%', 'soya lecithin 0.0%', 'vanilla flavouring 0.0%']",CH133,CALLEBAUT DARK STRONG DROPS 72.5% 2.5KG,,"cocoa mass, sugar, fat reduced cocoa powder, soya lecithin, vanilla flavouring","['fat reduced cocoa powder', 'soya lecithin', 'vanilla flavouring']","['cocoa mass->cocoa, powder', 'sugar->sugar, white']","['cocoa, powder', 'sugar, white']",3.49
2,"['sugar 54.5%', 'cocoa butter 31.2%', 'whole milk powder 0.0%', 'cocoa mass 14.3%', 'emulsifier  [soya lecithin] 0.0%', 'natural vanilla flavouring . 0.0%']",CH600,CALLEBAUT MILK DROPS 35.1% 10KG,,"sugar (42%), cocoa butter (24%), whole milk powder (22.5%), cocoa mass (11%), emulsifier (<1%) [soya lecithin], natural vanilla flavouring (<1%).","['whole milk powder', 'emulsifier  [soya lecithin]', 'natural vanilla flavouring .']","['cocoa butter', 'sugar->sugar, white', 'cocoa mass->cocoa, powder']","['sugar, white', 'cocoa butter', 'cocoa, powder']",2.172592207792208
3,"['cocoa mass 73.2%', 'sugar 26.8%', 'fat reduced cocoa powder 0.0%', 'emulsifier  [soya lecithin] 0.0%', 'natural vanilla flavouring . 0.0%']",CH602,CALLEBAUT DARK (STRONG) DROPS 72.5% 10KG,,"cocoa mass (71.0%), sugar (26.0%), fat reduced cocoa powder (2%), emulsifier (<1%) [soya lecithin], natural vanilla flavouring (<1%).","['fat reduced cocoa powder', 'emulsifier  [soya lecithin]', 'natural vanilla flavouring .']","['cocoa mass->cocoa, powder', 'sugar->sugar, white']","['cocoa, powder', 'sugar, white']",4.181237113402062
4,"['sugar 13.5%', 'cocoa mass 71.0%', 'skimmed milk powder 0.0%', 'fat reduced cocoa powder 0.0%', 'chocolate 13.5%', 'dark 2.0%', 'glucose syrup 0.0%', 'fully hydrogenated vegetable fat 0.0%', 'colour e150d 0.0%', 'milk protein 0.0%', 'emulsifier e471 0.0%', 'e472a 0.0%', 'stabiliser e340ii 0.0%', 'soya lecithin 0.0%', 'natural vanilla flavouring 0.0%']",CH896,CALLEBAUT DARK MOUSSE POWDER 800G,,"sugar, cocoa mass (71%), skimmed milk powder, fat reduced cocoa powder, chocolate, dark (2%), glucose syrup, fully hydrogenated vegetable fat, colour e150d
milk protein, emulsifier e471, e472a, stabiliser e340ii, soya lecithin, natural vanilla flavouring","['skimmed milk powder', 'fat reduced cocoa powder', 'glucose syrup', 'fully hydrogenated vegetable fat', 'colour e150d', 'milk protein', 'emulsifier e471', 'e472a', 'stabiliser e340ii', 'soya lecithin', 'natural vanilla flavouring']","['sugar->sugar, white', 'cocoa mass->cocoa, powder', 'chocolate->chocolate, milk', 'dark->chocolate, dark']","['sugar, white', 'cocoa, powder', 'chocolate, milk', 'chocolate, dark']",4.5799
5,"['apple 20.0%', 'granulated sugar 20.0%', 'water 20.0%', 'balsamic vinegar caramel free 0.0%', 'tomato puree 0.0%', 'kibbled onion 0.0%', 'raisins 20.0%', 'garlic puree 0.0%', 'salt 20.0%', 'apple extract 0.0%', 'ground ginger puree . 0.0%']",CP026,PRET PICKLE 6KG,,"apple, granulated sugar, water, balsamic vinegar caramel free, tomato puree, kibbled onion, raisins, garlic puree, salt, apple extract, ground ginger puree .","['balsamic vinegar caramel free', 'tomato puree', 'kibbled onion', 'garlic puree', 'apple extract', 'ground ginger puree .']","['water', 'salt', 'apple->apple, raw, all varieties', 'granulated sugar->sugar, brown', 'raisins->raisins, seedless']","['apple, raw, all varieties', 'sugar, brown', 'water', 'raisins, seedless', 'salt']",1.10608
6,"['quince 33.3%', 'sugar 33.3%', 'gelling agent 0.0%', 'pectin 33.3%', 'acidity regulator 0.0%', 'citric acid 0.0%', 'preservative 0.0%', 'sodium benzoate 0.0%']",CP077,MEMBRILLO QUINCE 800G,,"quince,sugar, gelling agent: pectin, acidity regulator:citric acid, preservative:sodium benzoate","['gelling agent', 'acidity regulator', 'citric acid', 'preservative', 'sodium benzoate']","['quince', 'sugar->sugar, white', 'pectin->apple pectin']","['quince', 'sugar, white', 'apple pectin']",1.850266666666667
7,"['tomatoes 20.0%', 'sugar 20.0%', 'diced red pepper 0.0%', 'sun dried tomato paste 20.0%', 'white wine vinegar 0.0%', 'kibbled onions 0.0%', 'salt 20.0%', 'mustard seeds 20.0%', 'ground ginger 0.0%', 'rapeseed oil 25.0%', 'tomato 25.0%', 'water 25.0%', 'salt 25.0%']",CP085,TOMATO & RED PEPPER RELISH 1KG,,"tomatoes, sugar, diced red pepper, sun dried tomato paste (rapeseed oil, tomato, water, salt), white wine vinegar, kibbled onions, salt, mustard seeds, ground ginger","['diced red pepper', 'sun dried tomato paste', 'white wine vinegar', 'kibbled onions', 'ground ginger']","['salt', 'mustard seeds', 'tomatoes->tomato, ripe, raw, origin unknown', 'sugar->sugar, white', 'rapeseed oil', 'water', 'salt', 'tomato->tomato, dried']","['tomato, ripe, raw, origin unknown', 'sugar, white', 'salt', 'mustard seeds', 'rapeseed oil', 'tomato, dried', 'water', 'salt']",1.7742499999999999
8,"['apple 16.7%', 'granulated sugar 16.7%', 'cider vinegar 16.7%', 'kibbled onion 0.0%', 'pectin 16.7%', 'muscovado sugar 0.0%', 'sultanas 16.7%', 'salt 16.7%', 'ground ginger 0.0%', 'ground black pepper 0.0%', 'ground white pepper 0.0%', 'citric acid 0.0%', 'sultanas 0.0%', 'sunflower oil 100.0%']",CP142,CHUTNEY CARAMELISED APPLE & ONION 1KG,,"apple, granulated sugar, cider vinegar, kibbled onion, pectin, muscovado sugar, sultanas (sultanas, sunflower oil), salt, ground ginger, ground black pepper,ground white pepper, citric acid","['kibbled onion', 'muscovado sugar', 'sultanas', 'ground ginger', 'ground black pepper', 'ground white pepper', 'citric acid', 'sultanas']","['salt', 'apple->apple, raw, all varieties', 'granulated sugar->sugar, brown', 'cider vinegar->apple cider vinegar', 'pectin->apple pectin', 'sunflower oil']","['apple, raw, all varieties', 'sugar, brown', 'apple cider vinegar', 'apple pectin', 'salt', 'sunflower oil']",2.1465833333333335
9,"['granulated sugar 25.0%', 'cider vinegar 25.0%', 'water 25.0%', 'pectin 25.0%', 'red peer iqf 0.0%', 'chipotle chillies 0.0%', 'citric acid 0.0%', 'smoked paprika 0.0%']",CP150,JELLY SMOKED CHILLI CROXTON MANOR 1KG,,"granulated sugar, cider vinegar, water
pectin, red peer iqf, chipotle chillies, citric acid ,smoked paprika","['red peer iqf', 'chipotle chillies', 'citric acid', 'smoked paprika']","['water', 'granulated sugar->sugar, brown', 'cider vinegar->apple cider vinegar', 'pectin->apple pectin']","['sugar, brown', 'apple cider vinegar', 'water', 'apple pectin']",2.0349749999999998
